discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
74,50.39,3D Christmas Elements Blazer Print Hoodie,12.99,5475390,"Clothes Type:Hoodie;Occasion:Christmas Day,Daily,Daily Use,Festival,Going Out,Home,Night Out;Style:Trendy;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:3D Print,Christmas Stocking;Season:Fall;Weight:0.5950kg;Package Contents:1 x Hoodie",https://www.dresslily.com/3d-christmas-elements-blazer-print-product5475390.html,2
46,47.38,Seamless Tribal Pattern Front Pocket Drawstring Hoodie,25.49,8340394,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Spandex;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Tribal Print;Season:Fall,Spring;Weight:0.5600kg;Package Contents:1 x Hoodie",https://www.dresslily.com/seamless-tribal-pattern-front-pocket-product8340394.html,
66,44.39,Cartoon Pig Pattern Kangaroo Pocket Hoodie,15.11,7784213,"Clothes Type:Hoodie;Occasion:Daily;Style:Cute;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Cartoon;Season:Fall,Spring;Weight:0.5700kg;Package Contents:1 x Hoodie",https://www.dresslily.com/cartoon-pig-pattern-kangaroo-pocket-product7784213.html,
,,Cartoon Graphic Print Fleece Zip Up Hoodie,53.99,2603839,"Clothes Type:Hoodie;Occasion:Casual ,Daily Use,Going Out;Style:Fashion;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Thick;Patterns:Cartoon,Letter;Weight:1.0500kg;Package Contents:1 x Hoodie",https://www.dresslily.com/cartoon-graphic-print-fleece-zip-product2603839.html,
27,31.5,Whole Colored Drawstring Casual Hoodie,22.99,3647294,Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Thick;Patterns:Others;Season:Winter;Weight:0.4070kg;Package Contents:1 x Hoodie,https://www.dresslily.com/whole-colored-drawstring-casual-hoodie-product3647294.html,25
66,45.88,Moon Night Pumpkin Halloween Party Kangaroo Pocket Hoodie,15.39,8161639,"Clothes Type:Hoodie;Occasion:Daily,Daily Use,Halloween;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Letter,Moon,Pumpkin;Season:Fall,Spring;Weight:0.5300kg;Package Contents:1 x Hoodie",https://www.dresslily.com/moon-night-pumpkin-halloween-party-product8161639.html,
69,50.8,Skull Pattern Kangaroo Pocket Hoodie,15.63,7784203,"Clothes Type:Hoodie;Occasion:Daily,Festival;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Skull;Season:Fall,Spring;Weight:0.5900kg;Package Contents:1 x Hoodie",https://www.dresslily.com/skull-pattern-kangaroo-pocket-hoodie-product7784203.html,1
,,Dinosaur Cartoon Print Hoodie,32.99,8173605,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Cartoon,Dinosaur;Season:Fall,Spring;Weight:0.5400kg;Package Contents:1 x Hoodie",https://www.dresslily.com/dinosaur-cartoon-print-long-sleeves-product8173605.html,1
,,Marvel Spider-Man Spider-Girl Heroes Print Hoodie,42.99,8332758,"Clothes Type:Hoodies;Style:Fashion;Pattern Type:Character,Letter;Material:Cotton;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring,Winter;Weight:0.5950kg;Package Contents:1 x Hoodie",https://www.dresslily.com/marvel-spider-man-spider-girl-product8332758.html,
,,Halloween Candle Skull Pattern Pockets Hoodie,22.99,3252983,"Clothes Type:Hoodie;Occasion:Halloween;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Closure Type:Zipper;Patterns:Skulls;Season:Fall;Weight:0.3800kg;Package Contents:1 x Hoodie",https://www.dresslily.com/halloween-candle-skull-pattern-pockets-product3252983.html,2
